,train_mae,train_rmse,train_r2,train_mape,test_mae,test_rmse,test_r2,test_mape
Ridge,10.161900722554464,12.775610996026412,0.9135610859869993,19.431677014891626,10.114463130158212,12.888138280660995,0.8930706216413743,24.39966456797002
RandomForest,6.577040990027987,8.287776018930403,0.9636234126127008,12.875496021815627,10.29194008281733,12.971397753375028,0.8916845966772378,27.39843820141168
GradientBoosting,9.270488754026255,11.633377963916818,0.9283266638863578,18.040664528526985,9.879412806843304,12.447910463730839,0.9002507636670312,25.47463753311952
XGBoost,8.776859264991073,11.010708821461733,0.9357938692853249,17.13571093601132,9.759539062225656,12.331036053363299,0.9021150771436045,25.09599493772755
LightGBM,9.233039525238338,11.588642275550631,0.9288768378911425,17.968396825119136,9.80258462824566,12.381156919325147,0.9013177316935382,25.247657170698506
